GEOID,NAME,variable,estimate,moe
36005000100,"Census Tract 1, Bronx County, New York",male,6345,322
36005000100,"Census Tract 1, Bronx County, New York",female,519,182
36005000100,"Census Tract 1, Bronx County, New York",total_pop,6864,331
36005000100,"Census Tract 1, Bronx County, New York",white,603,172
36005000100,"Census Tract 1, Bronx County, New York",black,3601,296
36005000100,"Census Tract 1, Bronx County, New York",asian,181,70
36005000100,"Census Tract 1, Bronx County, New York",latino,2407,255
36005000100,"Census Tract 1, Bronx County, New York",med_inc,NA,NA
36005000200,"Census Tract 2, Bronx County, New York",male,2193,323
36005000200,"Census Tract 2, Bronx County, New York",female,2339,344
36005000200,"Census Tract 2, Bronx County, New York",total_pop,4532,471
36005000200,"Census Tract 2, Bronx County, New York",white,33,29
36005000200,"Census Tract 2, Bronx County, New York",black,920,277
36005000200,"Census Tract 2, Bronx County, New York",asian,75,76
36005000200,"Census Tract 2, Bronx County, New York",latino,3444,473
36005000200,"Census Tract 2, Bronx County, New York",med_inc,51100,14133
36005000400,"Census Tract 4, Bronx County, New York",male,2810,333
36005000400,"Census Tract 4, Bronx County, New York",female,2706,357
36005000400,"Census Tract 4, Bronx County, New York",total_pop,5516,558
36005000400,"Census Tract 4, Bronx County, New York",white,387,174
36005000400,"Census Tract 4, Bronx County, New York",black,1264,465
36005000400,"Census Tract 4, Bronx County, New York",asian,121,115
36005000400,"Census Tract 4, Bronx County, New York",latino,3661,514
36005000400,"Census Tract 4, Bronx County, New York",med_inc,78409,11642
36005001600,"Census Tract 16, Bronx County, New York",male,2422,292
36005001600,"Census Tract 16, Bronx County, New York",female,3403,355
36005001600,"Census Tract 16, Bronx County, New York",total_pop,5825,398
36005001600,"Census Tract 16, Bronx County, New York",white,213,122
36005001600,"Census Tract 16, Bronx County, New York",black,2021,374
36005001600,"Census Tract 16, Bronx County, New York",asian,64,114
36005001600,"Census Tract 16, Bronx County, New York",latino,3452,342
36005001600,"Census Tract 16, Bronx County, New York",med_inc,34093,2370
36005001900,"Census Tract 19, Bronx County, New York",male,1583,253
36005001900,"Census Tract 19, Bronx County, New York",female,1558,185
36005001900,"Census Tract 19, Bronx County, New York",total_pop,3141,341
36005001900,"Census Tract 19, Bronx County, New York",white,340,96
36005001900,"Census Tract 19, Bronx County, New York",black,937,184
36005001900,"Census Tract 19, Bronx County, New York",asian,72,60
36005001900,"Census Tract 19, Bronx County, New York",latino,1714,293
36005001900,"Census Tract 19, Bronx County, New York",med_inc,45156,8158
36005002000,"Census Tract 20, Bronx County, New York",male,4128,771
36005002000,"Census Tract 20, Bronx County, New York",female,4912,507
36005002000,"Census Tract 20, Bronx County, New York",total_pop,9040,924
36005002000,"Census Tract 20, Bronx County, New York",white,21,34
36005002000,"Census Tract 20, Bronx County, New York",black,3031,1030
36005002000,"Census Tract 20, Bronx County, New York",asian,0,17
36005002000,"Census Tract 20, Bronx County, New York",latino,5912,972
36005002000,"Census Tract 20, Bronx County, New York",med_inc,20592,5007
36005002300,"Census Tract 23, Bronx County, New York",male,1960,252
36005002300,"Census Tract 23, Bronx County, New York",female,2342,243
36005002300,"Census Tract 23, Bronx County, New York",total_pop,4302,342
36005002300,"Census Tract 23, Bronx County, New York",white,1,3
36005002300,"Census Tract 23, Bronx County, New York",black,1192,244
36005002300,"Census Tract 23, Bronx County, New York",asian,0,12
36005002300,"Census Tract 23, Bronx County, New York",latino,3062,374
36005002300,"Census Tract 23, Bronx County, New York",med_inc,18688,3641
36005002400,"Census Tract 24, Bronx County, New York",male,122,166
36005002400,"Census Tract 24, Bronx County, New York",female,33,44
36005002400,"Census Tract 24, Bronx County, New York",total_pop,155,209
36005002400,"Census Tract 24, Bronx County, New York",white,65,88
36005002400,"Census Tract 24, Bronx County, New York",black,90,122
36005002400,"Census Tract 24, Bronx County, New York",asian,0,12
36005002400,"Census Tract 24, Bronx County, New York",latino,0,12
36005002400,"Census Tract 24, Bronx County, New York",med_inc,NA,NA
36005002500,"Census Tract 25, Bronx County, New York",male,3053,426
36005002500,"Census Tract 25, Bronx County, New York",female,2557,338
36005002500,"Census Tract 25, Bronx County, New York",total_pop,5610,617
36005002500,"Census Tract 25, Bronx County, New York",white,220,180
36005002500,"Census Tract 25, Bronx County, New York",black,1355,276
36005002500,"Census Tract 25, Bronx County, New York",asian,6,10
36005002500,"Census Tract 25, Bronx County, New York",latino,3986,586
36005002500,"Census Tract 25, Bronx County, New York",med_inc,23115,8426
36005002701,"Census Tract 27.01, Bronx County, New York",male,1164,210
36005002701,"Census Tract 27.01, Bronx County, New York",female,1444,262
36005002701,"Census Tract 27.01, Bronx County, New York",total_pop,2608,362
36005002701,"Census Tract 27.01, Bronx County, New York",white,0,12
36005002701,"Census Tract 27.01, Bronx County, New York",black,643,273
36005002701,"Census Tract 27.01, Bronx County, New York",asian,0,12
36005002701,"Census Tract 27.01, Bronx County, New York",latino,1965,277
36005002701,"Census Tract 27.01, Bronx County, New York",med_inc,18832,2799
36005002702,"Census Tract 27.02, Bronx County, New York",male,1983,317
36005002702,"Census Tract 27.02, Bronx County, New York",female,2577,380
36005002702,"Census Tract 27.02, Bronx County, New York",total_pop,4560,485
36005002702,"Census Tract 27.02, Bronx County, New York",white,36,51
36005002702,"Census Tract 27.02, Bronx County, New York",black,1917,538
36005002702,"Census Tract 27.02, Bronx County, New York",asian,0,12
36005002702,"Census Tract 27.02, Bronx County, New York",latino,2566,489
36005002702,"Census Tract 27.02, Bronx County, New York",med_inc,13097,2101
36005002800,"Census Tract 28, Bronx County, New York",male,2230,493
36005002800,"Census Tract 28, Bronx County, New York",female,2921,355
36005002800,"Census Tract 28, Bronx County, New York",total_pop,5151,616
36005002800,"Census Tract 28, Bronx County, New York",white,51,63
36005002800,"Census Tract 28, Bronx County, New York",black,3520,559
36005002800,"Census Tract 28, Bronx County, New York",asian,0,17
36005002800,"Census Tract 28, Bronx County, New York",latino,1546,519
36005002800,"Census Tract 28, Bronx County, New York",med_inc,51138,3986
36005003100,"Census Tract 31, Bronx County, New York",male,824,157
36005003100,"Census Tract 31, Bronx County, New York",female,865,114
36005003100,"Census Tract 31, Bronx County, New York",total_pop,1689,222
36005003100,"Census Tract 31, Bronx County, New York",white,24,24
36005003100,"Census Tract 31, Bronx County, New York",black,394,145
36005003100,"Census Tract 31, Bronx County, New York",asian,74,90
