GEOID,eff_cameras_within_200m,eff_cameras,cameras_within_200m,cameras
36005000200,0.96633145650675,0.046229824076743885,1,0
36005000400,1.286752401310359,0.9533133124238615,1,1
36005001600,1.1996909796284525,0.14574235588142603,1,0
36005001900,6.770327745940829,4.772944650141085,10,9
36005002000,3.0963173991212165,1.3610177223718123,3,2
36005002300,1.6396078025598881,0.1461467732651081,5,0
36005002400,2.5061287419255462,0.5888156889517382,3,1
36005002500,0.9995431365009096,0.4765686844418099,1,0
36005002701,0.6192569677255237,0,1,0
36005002702,2.632756544709338,0.16000964073953536,4,0
36005002800,4.019568037303552,1.8277983013558012,5,3
36005003100,1.9990862730023182,0.9334004282130348,2,1
36005003300,2.458421693665798,1.0389325854060325,3,2
36005003500,1.2916393004548385,0.1221192227413989,1,0
36005003700,1.4175361472987644,0,3,0
36005003800,2.283006818030971,0.05970034798341705,2,0
36005003900,3.158992123864933,0.607369219480465,4,1
36005004001,0.20794003233547292,0,0,0
36005004100,2.292810698515667,0.7656174699933899,3,1
36005004200,3.6792551317658067,1.403558243231824,3,1
36005004300,3.511678187632992,0.9074053817433587,17,1
36005004400,2.9050412534401002,0.5800466621976867,2,1
36005004600,3.723562308928924,2.081416786578395,4,2
36005004800,1.9676534009957636,0.1135771448802321,3,0
36005005001,2.225881930036179,1.002247374570246,3,3
36005005002,2.1255376627397835,0.4160497131063683,4,0
36005005100,6.893253208406006,2.4518520778237454,14,3
36005005200,3.140467738234957,0.9166125365898012,4,1
36005005300,1.6724333705756915,0.5518089715007165,3,1
36005005400,1.3021089558569727,0.4160760116331842,2,1
36005005902,2.700422611742549,0.3078290896931954,5,1
36005006000,2.2473778347334332,0.9231720826877919,4,2
36005006100,3.7989939225133598,0.7693680143219362,8,2
36005006200,0.76435005361334,0,1,0
36005006300,15.754373268357341,7.7866869206697436,25,11
36005006400,2.733366724009564,0.5878157106295875,3,1
36005006500,3.5739954540439696,1.069308952302511,18,15
36005006700,4.3025234509456896,1.6783989390792808,20,4
36005006800,3.362043890104992,0.9906002490481336,4,1
36005006900,4.190115779729221,0.7611674832305076,7,1
36005007000,4.57682823861496,1.5709343597655856,5,1
36005007100,4.63848841445309,1.1642252541425755,19,0
36005007200,1.2999366137731034,0.750774089843156,1,1
36005007300,1.5384112966960424,0.32417529985330396,2,0
36005007400,0.14930491772668822,0,0,0
36005007500,1.806906135305777,0.4465209813180802,1,0
36005007600,4.0906291247720805,1.0424778077195571,4,1
36005007700,0.3859571128294319,0,0,0
36005007800,1.99908627300219,1.3064629319664536,2,1
36005007900,1.2059392739577437,0.2288468553296662,1,1
36005008300,1.5930468245731548,0.5294501296672536,1,0
36005008400,0.9995431365007279,0.4952152722868465,1,0
36005008500,4.171057703655581,1.0346105599476003,6,3
36005008600,0.9995431365007279,0.2390083043088535,1,0
36005008700,4.546683697066403,2.222689320561484,8,4
36005008900,5.14684701193159,0.8987199366186887,10,0
36005009000,1.999086273001299,1.1586890308986109,2,2
36005009200,2.573381852771586,0.7053803540823805,2,1
36005009300,10.183688952752371,6.112795697177305,16,12
36005009600,3.707854601098637,0.22726303021728178,5,0
36005009800,0.6870640953451089,0,1,0
36005011000,1.2737501330662668,0.4544423154344188,1,0
36005011502,1.6453924259459096,0.007842455239745647,3,0
36005011700,3.2509491605970693,2.335000703229885,4,3
36005011800,1.7211773776701698,0.7367948705735576,3,1
36005011900,0.5322556078417224,0,1,0
36005012101,0.15557736290076957,0,0,0
36005012102,0.11669278568121394,0,0,0
36005012300,1.9174540826409316,0.09558073414189802,3,0
36005012500,1.3247332247610335,0.26067519472439693,2,0
36005012901,0.5914239665758854,0,0,0
36005013000,3.3181269662296047,0.2522990779100234,7,0
36005013100,1.1555118373731381,0.003167350874578411,2,0
36005013200,2.154991860338229,1.1875693464368455,2,2
36005013300,0.2234044659971864,0,0,0
36005013500,1.7150421054531733,0.5345916712477722,2,2
36005013800,2.509911044862329,0.9488321316321484,6,3
36005014100,3.812264615455032,2.108841246547153,5,3
36005014300,4.486905828292077,1.3624485246822116,8,6
36005014400,3.3996613721093056,1.1740768628818123,5,3
36005014500,1.584461014825274,0.5021578630422571,2,1
36005014701,2.588428028589525,0.5066890200053278,3,0
