GEOID,NAME,med.income,popn,popn.asian,popn.black,popn.female,popn.hispanic,popn.male,popn.white
36005000100,"Census Tract 1, Bronx County, New York",NA,6864,181,3824,519,2407,6345,2233
36005000200,"Census Tract 2, Bronx County, New York",51100,4532,75,1371,2339,3444,2193,1919
36005000400,"Census Tract 4, Bronx County, New York",78409,5516,208,1677,2706,3661,2810,2436
36005001600,"Census Tract 16, Bronx County, New York",34093,5825,76,2539,3403,3452,2422,1884
36005001900,"Census Tract 19, Bronx County, New York",45156,3141,87,1123,1558,1714,1583,685
36005002000,"Census Tract 20, Bronx County, New York",20592,9040,0,3779,4912,5912,4128,3170
36005002300,"Census Tract 23, Bronx County, New York",18688,4302,0,1616,2342,3062,1960,584
36005002400,"Census Tract 24, Bronx County, New York",NA,155,0,90,33,0,122,65
36005002500,"Census Tract 25, Bronx County, New York",23115,5610,6,1711,2557,3986,3053,1100
36005002701,"Census Tract 27.01, Bronx County, New York",18832,2608,0,862,1444,1965,1164,295
36005002702,"Census Tract 27.02, Bronx County, New York",13097,4560,0,2120,2577,2566,1983,538
36005002800,"Census Tract 28, Bronx County, New York",51138,5151,0,3742,2921,1546,2230,655
36005003100,"Census Tract 31, Bronx County, New York",43255,1689,74,437,865,1190,824,350
36005003300,"Census Tract 33, Bronx County, New York",22127,3277,0,1091,2036,1990,1241,427
36005003500,"Census Tract 35, Bronx County, New York",31310,3907,0,1472,2217,2647,1690,503
36005003700,"Census Tract 37, Bronx County, New York",NA,250,0,102,102,152,148,60
36005003800,"Census Tract 38, Bronx County, New York",33681,1350,0,344,755,1028,595,895
36005003900,"Census Tract 39, Bronx County, New York",25772,6260,0,1128,3073,4767,3187,1308
36005004001,"Census Tract 40.01, Bronx County, New York",54868,1475,161,209,696,991,779,334
36005004100,"Census Tract 41, Bronx County, New York",19643,5942,12,2049,2922,4192,3020,970
36005004200,"Census Tract 42, Bronx County, New York",43293,7697,32,3245,4310,4566,3387,2407
36005004300,"Census Tract 43, Bronx County, New York",21689,5552,52,1904,2969,3956,2583,1065
36005004400,"Census Tract 44, Bronx County, New York",17297,4401,113,1781,2422,2415,1979,625
36005004600,"Census Tract 46, Bronx County, New York",21360,1961,0,716,1069,1189,892,891
36005004800,"Census Tract 48, Bronx County, New York",33403,4563,122,1012,2213,3484,2350,487
36005005001,"Census Tract 50.01, Bronx County, New York",27009,4604,48,1226,2314,3308,2290,292
36005005002,"Census Tract 50.02, Bronx County, New York",31795,5592,54,1195,3019,4418,2573,437
36005005100,"Census Tract 51, Bronx County, New York",19115,5737,34,2016,3255,3959,2482,436
36005005200,"Census Tract 52, Bronx County, New York",21140,1956,8,614,1136,1430,820,259
36005005300,"Census Tract 53, Bronx County, New York",16583,4888,7,2744,2873,2365,2015,541
36005005400,"Census Tract 54, Bronx County, New York",35189,5324,151,1554,2713,3581,2611,517
36005005600,"Census Tract 56, Bronx County, New York",27153,2279,47,632,1227,1542,1052,319
36005005902,"Census Tract 59.02, Bronx County, New York",30844,2751,42,704,1429,1826,1322,483
36005006000,"Census Tract 60, Bronx County, New York",34898,1386,51,351,727,1027,659,364
36005006100,"Census Tract 61, Bronx County, New York",45361,3720,16,2650,2080,1021,1640,349
36005006200,"Census Tract 62, Bronx County, New York",25206,7233,148,2784,3945,4425,3288,716
36005006300,"Census Tract 63, Bronx County, New York",37306,4582,62,1511,2154,2843,2428,1053
36005006400,"Census Tract 64, Bronx County, New York",38415,3932,192,1550,2000,1967,1932,507
36005006500,"Census Tract 65, Bronx County, New York",25467,5377,113,1814,2437,3662,2940,1180
36005006700,"Census Tract 67, Bronx County, New York",19813,6705,0,1928,3255,5018,3450,696
36005006800,"Census Tract 68, Bronx County, New York",54395,3230,416,924,1559,1899,1671,188
36005006900,"Census Tract 69, Bronx County, New York",37590,7801,30,3250,4209,4462,3592,1146
36005007000,"Census Tract 70, Bronx County, New York",50500,4378,602,1015,2206,2423,2172,651
36005007100,"Census Tract 71, Bronx County, New York",42292,2795,75,1125,1494,1750,1301,352
