fips,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,borough,geometry,NAME.y,male,female,total_pop,white,black,asian,latino,med_inc,otherrace,county,tract_race,eff_cameras_within_200m,eff_cameras,cameras_within_200m,cameras,n_stops,n_2019,n_2020,n_black,stop_rate,surv
36005,36,005,034500,36005034500,345,Census Tract 345,G5020,S,274627,0,+40.9040602,-073.8986900,Bronx,"list(list(c(1011430.15567281, 1011473.41696386, 1011542.91134418, 1011625.69884359, 1011787.22336672, 1011817.82818056, 1011828.76554034, 1011833.37148498, 1011813.64958172, 1011724.1993592, 1011697.618983, 1011694.77749621, 1011786.29744197, 1011889.93328399, 1011982.06625196, 1012113.17496517, 1012344.03487954, 1012377.21255911, 1012567.42981162, 1012846.87300853, 1012862.02596572, 1012878.59517202, 1012885.48277024, 1012886.70086775, 1012815.7902808, 1012763.36724429, 1012757.87567783, 1012738.66601081, 
1012726.5927947, 1012714.79637714, 1012537.50200108, 1012362.15404095, 1012149.48700263, 1011943.47001266, 1011681.33343275, 1011353.43486005, 1011386.7775401, 1011430.15567281, 268018.583720518, 268142.872811265, 268291.966773413, 268418.851127969, 268585.902773797, 268655.526867957, 268760.834089246, 268842.816234381, 268926.592389008, 269070.770091985, 269108.995840635, 269177.124543386, 269643.221718498, 270146.860413367, 270071.18261522, 269995.185645732, 269950.638328343, 269944.118688612, 
269908.270533052, 269921.350910208, 269495.817396082, 269041.866996597, 268827.64215208, 268265.099941238, 267917.434250274, 267597.116209824, 267565.41202901, 267445.156713873, 267368.266452383, 267291.012183909, 267369.137863522, 267438.522905882, 267507.866196169, 267564.831346714, 267623.920665534, 267655.977856965, 267751.472685321, 268018.583720518)))","Census Tract 345, Bronx County, New York",1912,1628,3540,1666,295,143,1349,74013,87,Bronx,White,0,0,0,0,2,2,0,0,0.5649717514124294,0
36005,36,005,030701,36005030701,307.01,Census Tract 307.01,G5020,S,396736,0,+40.8931511,-073.9105743,Bronx,"list(list(c(1008035.92328369, 1008120.1741539, 1008177.61762829, 1008221.19668218, 1008276.33492935, 1008301.80063676, 1008331.66758265, 1008388.60356196, 1008419.19775031, 1008581.533926, 1008642.63054627, 1008711.70634525, 1008737.70948094, 1008745.64607832, 1008768.25025799, 1008824.1281769, 1008884.87152359, 1008900.8978302, 1008910.8392129, 1008916.35708674, 1008919.65912433, 1008917.15272428, 1008911.88869557, 1008908.01257629, 1008894.43968454, 1008874.23196993, 1008849.05195659, 1008825.81502075, 
1008800.92337125, 1008773.27112964, 1008733.17383604, 1008699.70957006, 1008659.87852472, 1008630.2778984, 1008614.98867815, 1008644.70491479, 1008756.14111547, 1008823.8121946, 1008857.06173657, 1008898.80946386, 1009148.50253651, 1009459.33587043, 1009721.74139052, 1009832.3452859, 1009795.92519943, 1009760.34232681, 1009726.42600363, 1009697.48793111, 1009676.27970677, 1009656.4670111, 1009641.35777221, 1009631.77530345, 1009627.44817198, 1009605.67163825, 1009553.67713512, 1009547.8755979, 1009543.2015275, 
1009540.32327976, 1009523.27425406, 1009500.75762224, 1009393.4858069, 1009307.51739436, 1009275.73843232, 1009238.16885829, 1009206.41155529, 1009202.01317954, 1009189.05097666, 1009148.73374451, 1009069.43646396, 1008903.38059233, 1008789.26454824, 1008753.32095313, 1008670.92757369, 1008656.55372927, 1008507.37124399, 1008482.80408508, 1008299.78329919, 1008024.12536549, 1007783.81638484, 1007467.12477448, 1008035.92328369, 262216.524634567, 262301.134507349, 262371.508901116, 262481.218485873, 
262923.582569201, 263173.909859743, 263446.466368231, 263745.282449311, 263841.498923979, 264353.924673884, 264634.164288479, 264951.210596896, 265210.283340077, 265290.44639762, 265356.050662518, 265325.502645284, 265404.262027892, 265413.022520742, 265424.327215165, 265435.62740811, 265450.933097224, 265468.783257965, 265479.708130001, 265485.169299778, 265510.659361713, 265535.778343665, 265556.88453965, 265570.341570232, 265579.789193435, 265585.226294523, 265594.65859536, 265606.28370468, 265625.917947098, 
265644.469528276, 265727.523920189, 265868.553860909, 266394.046401472, 266726.758579639, 266924.994036008, 267193.191758682, 267135.152562188, 267035.280247046, 266984.182685888, 266962.074446252, 266894.268503213, 266818.812330783, 266735.706798637, 266650.420500361, 266575.343911806, 266487.516863345, 266396.051353304, 266306.777696433, 266214.959165152, 265889.943990593, 265114.571722845, 264845.681993473, 264556.026046756, 263870.333521758, 263781.052230024, 263632.013367837, 263359.73924252, 
263339.611413603, 263322.454544954, 263289.989434273, 263251.700919533, 263226.921221493, 263194.845891869, 263145.254082031, 263089.792916193, 262973.76300481, 262897.499932455, 262896.370522121, 262893.372585304, 262889.350350648, 262486.968496719, 262445.409085609, 262142.459722495, 261841.242396214, 261579.046995037, 261666.911749265, 262216.524634567)))","Census Tract 307.01, Bronx County, New York",2782,2944,5726,4104,601,204,605,121389,212,Bronx,White,1.2138310173163118,0.45501094587936675,1,0,9,1,8,1,1.5717778553964374,0.21198585702345646
36005,36,005,031000,36005031000,310,Census Tract 310,G5020,S,634013,0,+40.8612380,-073.8360660,Bronx,"list(list(c(1028263.69263299, 1028279.33120665, 1028298.73492489, 1028559.85039516, 1028819.58369646, 1029078.76327198, 1029338.21821253, 1029342.8253169, 1029492.37989632, 1029637.50480354, 1030829.95590337, 1031019.71295498, 1031256.33649399, 1031371.22303745, 1031455.16266648, 1031542.22508281, 1031724.58629303, 1031683.51463467, 1031383.16847984, 1031227.61421661, 1030989.37546309, 1030748.35584665, 1030381.59084298, 1030311.3964099, 1030065.43662148, 1029800.95491756, 1029537.02087731, 1029390.54520048, 
1029273.7541332, 1029015.008037, 1028756.26377152, 1028497.51999459, 1028241.27228078, 1028251.42223414, 1028263.69263299, 252946.876283968, 253626.397452011, 254516.5139214, 254510.796261307, 254504.714533032, 254498.998903888, 254494.015238477, 254693.681881011, 254589.395225535, 254488.015914167, 253598.011605531, 253451.548357226, 253387.153833869, 253338.555505342, 253273.137801474, 253166.920476723, 252987.293452361, 252913.980814726, 252601.155974575, 252507.94739526, 252401.463981108, 252301.535687525, 
252139.068090259, 252103.593662588, 251979.980755522, 251848.684412486, 251718.849349522, 251645.708241649, 251675.002421934, 251729.173903204, 251782.98381101, 251837.160820922, 251888.430412035, 252392.329782718, 252946.876283968)))","Census Tract 310, Bronx County, New York",2083,2670,4753,1368,1110,576,1656,87336,43,Bronx,Latino,0.03450436047125436,0,0,0,NA,NA,NA,NA,NA,0.00725949094703437
36005,36,005,014100,36005014100,141,Census Tract 141,G5020,S,177165,0,+40.8237653,-073.9122950,Bronx,"list(list(c(1007412.78588452, 1007328.34286678, 1007519.42790866, 1007649.94981008, 1007712.26893444, 1007843.87409774, 1008186.92206767, 1008282.16933482, 1008796.33476598, 1009001.21293425, 1009128.84629136, 1009516.48797291, 1009784.49280569, 1009597.74484871, 1009322.26696819, 1009299.01063678, 1009200.99044884, 1008966.09700057, 1008804.23195182, 1008676.95005582, 1008363.79902651, 1007912.48352551, 1007439.0247198, 1007532.62625267, 1007284.54732233, 1007473.972784, 1007412.78588452, 239819.670850574, 
239852.016274375, 240015.421697387, 240127.76298836, 240077.544768289, 239928.658827473, 239784.717821818, 240022.3594854, 239801.357967725, 239728.334615156, 239683.651856655, 239517.186606205, 239425.654584653, 238830.132859424, 238916.194151381, 238923.456841384, 238965.254458493, 238881.580829421, 238835.509977058, 238802.226797534, 238923.601680707, 239105.689557692, 239296.873066961, 239528.680766185, 239631.551030424, 239796.047509711, 239819.670850574)))","Census Tract 141, Bronx County, New York",2535,3316,5851,105,1759,21,3871,31205,95,Bronx,Latino,3.812264615455032,2.108841246547153,5,3,28,10,18,20,4.785506750982738,0.6515577876354524
36005,36,005,027401,36005027401,274.01,Census Tract 274.01,G5020,S,701116,0,+40.8404445,-073.8226303,Bronx,"list(list(c(1032447.18259202, 1032510.03745882, 1032620.79556759, 1032631.94876754, 1032647.57397238, 1032645.62725653, 1032680.01774704, 1032823.68812441, 1032955.46781959, 1033217.36848298, 1033486.45169354, 1033744.75560794, 1033915.78501916, 1034011.04009225, 1033987.21094994, 1033951.97059404, 1033937.63184389, 1033926.59281878, 1033985.97347109, 1034036.58369693, 1034111.7152238, 1034177.04945062, 1034191.55277697, 1034269.76690304, 1034277.31316347, 1034284.59778062, 1034297.7045657, 1034318.01409369, 
1034342.74051016, 1034366.89176024, 1034397.68939157, 1034409.37301824, 1034471.68743555, 1034600.09462336, 1034363.92943687, 1034121.95924053, 1033886.35279427, 1033642.42617598, 1033442.48935539, 1033374.73785723, 1033330.72965761, 1033207.90978898, 1033137.37017778, 1033004.32958844, 1032768.33756849, 1032624.4800862, 1032396.59602068, 1032381.03226645, 1032356.01807036, 1032339.07299067, 1032423.27535866, 1032507.67469258, 1032539.06965815, 1032567.90643415, 1032562.65758383, 1032523.63740626, 
1032484.68147744, 1032442.26845989, 1032436.36777211, 1032429.30168623, 1032422.23137302, 1032406.39761502, 1032371.63138671, 1032327.01849721, 1032447.18259202, 246406.211472133, 246382.654560382, 246340.976455243, 246575.26818541, 246925.42844989, 247068.973854205, 247581.66662285, 247681.41852536, 247777.504003391, 247967.487746108, 248160.767981933, 248346.742444039, 248457.122583333, 248282.071119703, 247625.484211772, 246866.13072224, 246572.444657225, 246288.602536817, 245936.409283083, 245678.926122001, 
245338.424446835, 245053.646587993, 244997.932750441, 244640.678470888, 244604.260249863, 244560.554732956, 244511.396170664, 244458.244776022, 244410.203257748, 244372.726375616, 244332.712902139, 244302.861368882, 244143.046066428, 243737.44009693, 243664.083140924, 243587.073169698, 243509.714312093, 243440.720563376, 243375.461882267, 243353.099885268, 243357.747130275, 243335.638501242, 243323.472993178, 243292.236344064, 243127.810901965, 243385.474461315, 243178.441311273, 243212.293804844, 
243267.259136464, 243300.015903928, 243399.647278018, 243538.992152553, 243614.836918908, 243724.560039335, 243858.990208206, 243999.54684986, 244108.041963483, 244285.390120386, 244469.733341027, 244683.585632093, 244899.62396559, 245348.456888199, 245856.639428442, 246447.507373137, 246406.211472133)))","Census Tract 274.01, Bronx County, New York",2209,2484,4693,3267,88,88,1250,87500,0,Bronx,White,2.9731769803704866,1.310160789021245,3,2,1,0,1,0,0.21308331557639035,0.6335344087727438
36005,36,005,035000,36005035000,350,Census Tract 350,G5020,S,191626,0,+40.8685221,-073.8482552,Bronx,"list(list(c(1025737.08102062, 1025747.5636436, 1025755.75818347, 1026035.77240835, 1026123.37858871, 1026309.16206989, 1026495.79423989, 1026567.78750356, 1026729.49459824, 1026817.54979144, 1026902.83841425, 1027071.47187996, 1026803.91216491, 1026512.91011954, 1026517.94975392, 1026258.21827245, 1025987.69917303, 1025870.69792624, 1025782.73705708, 1025716.07446756, 1025722.46261803, 1025737.08102062, 255391.143524829, 256053.166617514, 256758.906791774, 256845.736671648, 256883.779274868, 256764.597615744, 
256635.581689589, 256586.885795976, 256478.595522361, 256418.634006883, 256359.39662133, 256246.020075228, 255837.488150838, 255385.197623007, 254557.426994456, 254563.169058073, 254569.259660002, 254570.515753145, 254572.915191684, 254574.987050525, 254721.098105553, 255391.143524829)))","Census Tract 350, Bronx County, New York",929,1134,2063,117,1195,131,577,74583,43,Bronx,Black,1.99908627300154,1.3220632802971606,2,1,6,2,4,5,2.90838584585555,0.9690190368403006
36005,36,005,002000,36005002000,20,Census Tract 20,G5020,S,395565,0,+40.8175801,-073.8660962,Bronx,"list(list(c(1020541.36402617, 1020625.76082658, 1020880.32738243, 1021145.96296143, 1021408.82805919, 1021751.30431791, 1021806.30892489, 1021974.82367806, 1022061.71205617, 1022318.22023269, 1022426.04913176, 1022452.84270697, 1022592.45262746, 1022337.31157115, 1022081.33972659, 1021825.09012012, 1021558.60060631, 1021043.2400152, 1020360.01954607, 1020339.05041023, 1020326.47099578, 1020241.48216676, 1020093.10173317, 1020541.36402617, 238262.92706531, 238276.898326036, 238323.552326307, 238370.954516804, 
238419.448383749, 237995.523619081, 237686.65142589, 237717.517294427, 237731.861761792, 237777.805198409, 237149.130062606, 237008.53842624, 236241.466557888, 236196.25109611, 236150.672689027, 236105.096556156, 236057.685695336, 236024.836641627, 236626.421633092, 236767.024208483, 236850.074158978, 237417.948185344, 238181.377542187, 238262.92706531)))","Census Tract 20, Bronx County, New York",4128,4912,9040,21,3031,0,5912,20592,76,Bronx,Latino,3.0963173991212165,1.3610177223718125,3,2,52,26,26,34,5.752212389380531,0.34251298662845314
36005,36,005,040701,36005040701,407.01,Census Tract 407.01,G5020,S,58237,0,+40.8715793,-073.8902605,Bronx,"list(list(c(1013920.47865147, 1013968.57135672, 1014027.45094963, 1014079.70270916, 1014139.1487138, 1014199.43110928, 1014262.48634878, 1014313.10153786, 1014371.46647666, 1014399.68392547, 1014447.52941671, 1014485.41215935, 1014523.01240044, 1014553.97229489, 1014589.34899605, 1014621.95450684, 1014657.31188721, 1014678.2978771, 1014700.37908862, 1014717.20323202, 1014726.56973667, 1014845.59379294, 1015050.53355721, 1015225.56342672, 1015266.82885787, 1015248.87499748, 1015039.78163375, 1014556.52397689, 
1014403.45393713, 1014361.09708763, 1014139.3472481, 1013823.48370495, 1013867.97101779, 1013920.47865147, 256831.513521349, 256855.983219395, 256879.737589727, 256895.468470883, 256908.293622533, 256915.654859967, 256917.190248491, 256914.338286014, 256906.75964824, 256900.600973659, 256901.024901903, 256906.537243773, 256916.785706917, 256929.211959427, 256948.201895507, 256971.560484835, 257005.852761082, 257032.11156341, 257067.115912341, 257103.935368664, 257133.094322023, 257490.66158103, 257266.123663023, 
257076.525846123, 257031.76486363, 257013.889242022, 256804.127323272, 256436.992385767, 256315.840674291, 256348.942890176, 256523.186938872, 256765.813804166, 256798.658711119, 256831.513521349)))","Census Tract 407.01, Bronx County, New York",1470,1650,3120,104,287,39,2682,34695,8,Bronx,Latino,3.759830126626108,0.4007824221897968,12,4,5,1,4,0,1.6025641025641024,1.205073758534009
36005,36,005,040702,36005040702,407.02,Census Tract 407.02,G5020,S,182164,0,+40.8691444,-073.8869972,Bronx,"list(list(c(1014556.52397689, 1015039.78163375, 1015248.87499748, 1015266.82885787, 1015302.83269831, 1015525.78226419, 1015629.0869555, 1015662.59906329, 1015716.05222964, 1015913.25259863, 1016006.015245, 1016042.60376723, 1016066.23028712, 1016089.67377019, 1016137.43302249, 1016267.761631, 1016437.94488052, 1016215.79031349, 1016019.33680327, 1015979.82376981, 1015799.11350719, 1015653.84484141, 1015530.20742542, 1015313.30083571, 1015140.43961308, 1014915.06593066, 1014703.55060517, 1014446.64062199, 
1014403.45393713, 1014556.52397689, 256436.992385767, 256804.127323272, 257013.889242022, 257031.76486363, 256992.462302363, 256749.005880251, 256637.287202928, 256600.896672025, 256543.036043808, 256327.239607345, 256242.834245002, 256181.308851389, 256091.712348043, 255931.06943332, 255788.31117653, 255533.809798149, 255261.509434637, 255094.712245338, 254942.16002852, 254912.232429769, 254774.640547363, 255033.132714176, 255249.390334458, 255514.714662668, 255729.45389868, 255917.166747283, 256084.131770887, 
256282.739567111, 256315.840674291, 256436.992385767)))","Census Tract 407.02, Bronx County, New York",3346,3677,7023,351,564,407,5527,37275,174,Bronx,Latino,3.706440615352225,0.8075939774499656,12,2,22,10,12,8,3.132564431154777,0.5277574562654457
36005,36,005,002702,36005002702,27.02,Census Tract 27.02,G5020,S,155504,0,+40.8064490,-073.9137729,Bronx,"list(list(c(1007341.11050549, 1007452.99799232, 1007672.36448915, 1007965.96274033, 1008225.22030558, 1008461.49204499, 1008703.82407667, 1008949.19924616, 1009280.43674988, 1009407.56604563, 1009256.75337429, 1009012.45265284, 1008757.63742071, 1008535.7386871, 1008499.24072532, 1008413.73585042, 1008350.64472679, 1008203.72405993, 1007782.97817619, 1007921.70907163, 1007095.18060753, 1007223.39694411, 1007341.11050549, 233709.687237532, 233949.162492145, 233826.592289265, 233664.383982897, 233519.633369134, 
233386.521310002, 233285.843526306, 233189.178956071, 233053.257110161, 232995.094984383, 232932.273309246, 232786.288461736, 232631.91574614, 232502.353465951, 232456.775025433, 232416.24845757, 232386.310180375, 232300.545820046, 232522.014117454, 232773.176203335, 233232.17482064, 233481.137071604, 233709.687237532)))","Census Tract 27.02, Bronx County, New York",1983,2577,4560,36,1917,0,2566,13097,41,Bronx,Latino,2.632756544709338,0.16000964073953536,4,0,12,7,5,5,2.631578947368421,0.5773588913836267
